source,original_name,price,seller_name,seller_source,location
Jiji,Dangote Cem 50kg,15500,BuildMart Limited,Jiji,Lagos
Jiji,Dangote Cement 50kg,15000,Construction Depot,Jiji,Abuja
Jumia,Dangote Cement 50kg,15800,BuildMart Limited,Jumia,Lagos
Konga,iPhone 13 Pro Max,650000,Tech Zone Nigeria,Konga,Abuja
Facebook,iPhone 13 Pro Max 256GB,450000,Unknown Seller,Facebook,Lagos
Jiji,Samsung Galaxy S24 Ultra,580000,Tech World,Jiji,Lagos
Jumia,Honda Generator 2.5KVA,185000,Prime Electronics,Jumia,Port Harcourt
Facebook,Honda Gen 2500w,175000,Prime Electronics,Facebook,Port Harcourt
Jiji,Inverter Battery 200AH,85000,Battery World,Jiji,Lagos
Konga,Luminous Battery 200ah,Konga,Abuja,78000,Power Solutions
